spectrum_id,B0_matlab,B0_easyspin,B0_cnn,dB_matlab,dB_easyspin,dB_cnn,p_matlab,p_easyspin,p_cnn
1,3338.96,3355.28,3353.56,30.21,30.97,29.81,1.2004,1.2984,1.3218
2,3381.89,3347.99,3347.27,24.23,24.38,24.34,1.2284,1.2849,1.2781
3,3332.58,3348.02,3347.30,19.25,19.96,20.43,1.0030,1.2733,1.2231
4,3338.51,3355.13,3353.79,25.14,25.42,25.20,1.1978,1.2514,1.2654
5,3337.93,3354.75,3353.90,21.06,20.88,21.38,1.0367,1.0998,1.0823
6,3331.05,3347.74,3347.82,16.88,16.47,17.32,1.0200,1.0683,1.0316
7,3331.03,3347.93,3348.11,15.27,14.66,15.64,0.9889,0.9690,0.9436
8,3388.22,3354.76,3354.02,19.43,18.79,19.62,0.9660,1.0329,1.0032
9,3363.05,3355.02,3354.41,17.52,16.86,17.89,0.9077,0.9523,0.9327
10,3331.38,3348.05,3348.38,14.36,14.01,14.73,0.8894,0.8860,0.8806
11,3342.24,3347.92,3348.49,13.21,12.41,13.46,0.8335,0.8266,0.8099
12,3388.26,3354.71,3354.17,16.62,16.17,16.81,0.8727,0.8779,0.8899
13,3353.71,3354.90,3354.31,14.72,14.51,15.46,0.7088,0.8568,0.8373
14,3342.06,3348.03,3348.50,12.69,11.83,12.93,0.7963,0.7900,0.7740
15,3382.49,3348.21,3348.25,12.00,9.87,12.02,0.2000,0.6010,0.7156
16,3338.09,3354.90,3354.62,13.94,13.25,14.17,0.7640,0.7951,0.7770
17,3388.42,3354.98,3354.56,13.16,11.01,13.19,0.7111,0.7873,0.7171
18,3331.44,3348.23,3348.02,11.19,9.32,11.41,0.6885,0.5719,0.6591
19,3331.53,3348.32,3347.94,10.53,8.75,10.78,0.6385,0.5293,0.6020
20,3341.82,3355.02,3354.53,12.08,10.11,12.30,0.6680,0.6154,0.6644
21,3360.42,3354.94,3354.48,11.40,9.46,11.60,0.6178,0.5959,0.6094
22,3381.07,3348.32,3347.90,10.20,8.33,10.28,0.9006,0.4865,0.5463
23,3331.49,3348.27,3347.83,9.45,7.80,9.63,0.5403,0.4408,0.4906
24,3336.11,3348.28,3348.06,7.96,6.64,8.20,0.5338,0.3213,0.5136
25,3338.42,3354.82,3354.50,9.16,9.25,9.54,0.2000,0.5817,0.5888
26,3388.38,3354.89,3354.44,8.41,7.21,8.62,0.5161,0.8810,0.5206
27,3331.81,3348.40,3348.23,7.31,6.10,7.54,0.2000,0.1295,0.4518
28,3352.18,3348.53,3348.29,6.58,5.45,6.80,0.3967,0.2533,0.3800
29,3351.41,3355.02,3354.53,7.34,6.12,7.57,0.2000,0.4885,0.4532
30,3338.33,3355.13,3354.64,6.37,5.32,6.68,0.3879,0.3967,0.3951
31,3341.04,3348.74,3347.93,5.79,5.00,5.93,0.2181,0.8128,0.2000
32,3332.11,3348.93,3347.75,5.00,5.00,5.07,0.2000,1.2543,0.2000
33,3338.27,3355.03,3354.23,5.39,5.00,5.52,0.2198,1.1031,0.2115
34,3338.34,3355.03,3354.09,5.00,5.00,5.06,0.2084,1.3011,0.2000
35,3388.67,nan,3354.86,5.00,nan,4.46,0.2211,nan,0.2219
36,3376.01,nan,3348.19,5.00,nan,4.18,0.2356,nan,0.2000
37,3437.75,nan,3348.52,5.00,nan,3.68,0.2000,nan,0.2000
38,3388.15,nan,3354.55,5.00,nan,4.04,0.8523,nan,0.2000
39,3437.75,nan,3354.29,1500.00,nan,3.71,5.0000,nan,0.2000
