spectrum_id,B0_G,dB_G,p,g_factor,mwFreq_GHz,run_name,status
1,3345.31,53.70,1.3369,2.01042,9.413174,20260412_141449,OK
2,3366.13,45.10,0.3832,1.99798,9.413138,20260412_141449,OK
3,3357.63,48.52,1.0720,2.00335,9.414556,20260412_141449,OK
4,3345.99,52.09,1.5543,2.01032,9.414557,20260412_141449,OK
5,3350.05,46.69,1.4302,2.00784,9.414379,20260412_141449,OK
6,3355.04,47.32,1.1923,2.00484,9.414335,20260412_141449,OK
7,3353.79,43.04,1.1723,2.00541,9.413505,20260412_141449,OK
8,3348.64,42.04,1.5247,2.00842,9.41313,20260412_141449,OK
9,3354.81,38.15,1.3066,2.00468,9.412901,20260412_141449,OK
10,3352.79,37.30,1.1595,2.00591,9.413012,20260412_141449,OK
11,3353.08,33.06,1.1137,2.00570,9.412878,20260412_141449,OK
12,3353.39,33.81,1.3683,2.00552,9.41286,20260412_141449,OK
13,3357.06,29.77,1.2096,2.00320,9.412272,20260412_141449,OK
14,3353.71,28.91,1.0768,2.00520,9.412275,20260412_141449,OK
15,3352.16,25.50,1.1613,2.00598,9.411562,20260412_141449,OK
16,3355.52,29.11,1.3282,2.00396,9.411535,20260412_141449,OK
17,3355.37,28.08,1.3733,2.00408,9.411675,20260412_141449,OK
18,3353.24,24.11,1.1609,2.00534,9.411623,20260412_141449,OK
19,3352.48,23.07,1.1991,2.00569,9.41114,20260412_141449,OK
20,3354.98,27.57,1.3925,2.00420,9.411151,20260412_141449,OK
21,3355.48,25.97,1.3930,2.00378,9.41058,20260412_141449,OK
22,3352.03,22.19,1.2253,2.00583,9.410519,20260412_141449,OK
23,3351.62,20.76,1.2244,2.00593,9.409835,20260412_141449,OK
24,3356.42,24.97,1.3516,2.00305,9.409779,20260412_141449,OK
25,3356.75,23.59,1.3324,2.00269,9.40901,20260412_141449,OK
26,3351.65,19.92,1.2007,2.00574,9.409015,20260412_141449,OK
27,3351.85,18.96,1.1728,2.00562,9.409043,20260412_141449,OK
28,3356.73,22.74,1.2902,2.00270,9.408992,20260412_141449,OK
29,3357.08,21.46,1.2522,2.00242,9.408691,20260412_141449,OK
30,3351.51,18.13,1.1333,2.00564,9.408153,20260412_141449,OK
31,3351.35,17.14,1.1113,2.00570,9.408006,20260412_141449,OK
32,3357.32,20.51,1.2101,2.00217,9.408135,20260412_141449,OK
33,3357.51,19.43,1.1927,2.00202,9.407966,20260412_141449,OK
34,3351.76,16.25,1.0586,2.00542,9.407849,20260412_141449,OK
35,3351.14,15.34,1.0482,2.00537,9.405876,20260412_141449,OK
36,3356.90,18.34,1.1659,2.00193,9.405849,20260412_141449,OK
37,3357.00,16.61,1.0995,2.00174,9.405245,20260412_141449,OK
38,3351.02,14.00,0.9851,2.00530,9.405165,20260412_141449,OK
39,3350.55,12.08,0.8786,2.00540,9.404326,20260412_141449,OK
40,3356.96,14.22,0.9828,2.00154,9.40421,20260412_141449,OK
41,3356.49,13.09,0.9078,2.00159,9.403107,20260412_141449,OK
42,3356.15,12.29,0.9725,2.00179,9.403105,20260412_141449,OK
43,3350.18,10.34,0.8321,2.00534,9.403033,20260412_141449,OK
44,3350.27,11.09,0.8138,2.00528,9.403009,20260412_141449,OK
45,3350.18,10.18,0.7468,2.00511,9.401959,20260412_141449,OK
46,3350.14,9.33,0.7797,2.00512,9.401903,20260412_141449,OK
