spectrum_id,B0_G,dB_G,p,g_factor,mwFreq_GHz,run_name,status
47,3355.69,11.15,0.9145,2.00182,9.401961,20260412_141449,OK
48,3355.84,11.81,0.8664,2.00172,9.401916,20260412_141449,OK
49,3355.63,11.33,0.8293,2.00160,9.400758,20260412_141449,OK
50,3355.33,10.59,0.8896,2.00180,9.400859,20260412_141449,OK
51,3349.60,8.93,0.7440,2.00524,9.400905,20260412_141449,OK
52,3349.55,9.80,0.7158,2.00525,9.400831,20260412_141449,OK
53,3349.85,9.39,0.6623,2.00510,9.400972,20260412_141449,OK
54,3349.90,8.53,0.6930,2.00507,9.400967,20260412_141449,OK
55,3355.77,9.65,0.7819,2.00155,9.40094,20260412_141449,OK
56,3355.98,10.53,0.7283,2.00142,9.40091,20260412_141449,OK
57,3355.89,10.03,0.6620,2.00134,9.40024,20260412_141449,OK
58,3355.45,9.28,0.7431,2.00160,9.40023,20260412_141449,OK
59,3349.91,8.17,0.6436,2.00491,9.40024,20260412_141449,OK
60,3349.98,8.98,0.5910,2.00487,9.400235,20260412_141449,OK
61,3349.89,8.66,0.5223,2.00482,9.3998,20260412_141449,OK
62,3349.62,7.80,0.5768,2.00499,9.399816,20260412_141449,OK
63,3355.68,8.71,0.6544,2.00140,9.399956,20260412_141449,OK
64,3355.27,9.54,0.6134,2.00165,9.399965,20260412_141449,OK
65,3355.42,9.08,0.5171,2.00144,9.399444,20260412_141449,OK
66,3355.34,8.28,0.5503,2.00149,9.399428,20260412_141449,OK
67,3349.59,7.52,0.4934,2.00489,9.399246,20260412_141449,OK
68,3349.64,8.44,0.4978,2.00485,9.399223,20260412_141449,OK
69,3350.81,8.12,0.3352,2.00425,9.399681,20260412_141449,OK
70,3349.82,7.19,0.4490,2.00484,9.399667,20260412_141449,OK
71,3355.43,7.78,0.4774,2.00153,9.399882,20260412_141449,OK
72,3355.37,8.59,0.4438,2.00161,9.400069,20260412_141449,OK
73,3354.78,8.12,0.2405,2.00171,9.398888,20260412_141449,OK
74,3354.87,7.29,0.4272,2.00166,9.3989,20260412_141449,OK
75,3350.19,6.99,0.2895,2.00454,9.399329,20260412_141449,OK
76,3350.22,7.95,0.2056,2.00452,9.399304,20260412_141449,OK
77,3350.06,7.78,0.2132,2.00462,9.399314,20260412_141449,OK
78,3350.12,6.76,0.2493,2.00459,9.39931,20260412_141449,OK
79,3355.35,7.03,0.3735,2.00144,9.399236,20260412_141449,OK
80,3354.65,8.06,0.4152,2.00185,9.399206,20260412_141449,OK
