spectrum_id,B0_matlab,B0_easyspin,B0_cnn,dB_matlab,dB_easyspin,dB_cnn,p_matlab,p_easyspin,p_cnn
1,3435.90,3303.44,3345.31,42.75,5.00,53.70,0.2000,5.0000,1.3369
2,3435.90,3337.33,3366.13,49.66,5.00,45.10,0.2000,5.0000,0.3832
3,3340.64,3353.13,3357.63,55.58,49.46,48.52,0.6689,1.0642,1.0720
4,3394.54,3357.26,3345.99,73.55,86.09,52.09,0.2000,1.0880,1.5543
5,3396.60,3356.17,3350.05,66.48,64.34,46.69,0.3936,1.2313,1.4302
6,3344.13,3353.43,3355.04,51.66,51.21,47.32,0.2000,1.1374,1.1923
7,3337.77,3353.80,3353.79,42.75,49.92,43.04,0.9352,1.1529,1.1723
8,3382.63,3354.93,3348.64,52.28,52.46,42.04,4.7115,1.3065,1.5247
9,3337.65,3360.55,3354.81,46.98,56.77,38.15,1.2885,1.0875,1.3066
10,3337.42,3354.50,3352.79,37.87,44.27,37.30,0.9554,1.1513,1.1595
11,3336.79,3353.32,3353.08,33.14,37.46,33.06,0.9908,1.1644,1.1137
12,3342.25,3361.20,3353.39,43.01,49.67,33.81,1.0052,1.0812,1.3683
13,3341.84,3360.33,3357.06,37.54,41.84,29.77,1.0692,1.1280,1.2096
14,3384.90,3352.56,3353.71,29.19,31.83,28.91,1.0430,1.1676,1.0768
15,3385.97,3351.72,3352.16,24.68,26.18,25.50,1.0342,1.1751,1.1613
16,3341.37,3358.63,3355.52,31.66,33.51,29.11,1.1757,1.2308,1.3282
17,3341.32,3358.51,3355.37,29.81,31.22,28.08,1.2377,1.3078,1.3733
18,3335.70,3351.78,3353.24,23.09,24.18,24.11,1.1420,1.2174,1.1609
19,3389.49,3350.95,3352.48,21.81,22.10,23.07,0.2000,1.2235,1.1991
20,3341.51,3357.58,3354.98,27.71,28.96,27.57,1.2430,1.2768,1.3925
21,3391.34,3357.69,3355.48,26.84,27.10,25.97,1.2844,1.3133,1.3930
22,3334.82,3350.82,3352.03,20.57,20.95,22.19,1.2219,1.2337,1.2253
23,3334.47,3350.62,3351.62,19.41,19.70,20.76,1.2316,1.2435,1.2244
24,3340.82,3357.35,3356.42,24.94,25.37,24.97,1.2966,1.3120,1.3516
25,3391.13,3357.40,3356.75,23.77,23.78,23.59,1.2928,1.3209,1.3324
26,3381.97,3350.47,3351.65,18.83,18.74,19.92,1.2185,1.2188,1.2007
27,3383.07,3350.58,3351.85,16.77,17.83,18.96,1.4595,1.1958,1.1728
28,3391.18,3357.40,3356.73,22.65,22.66,22.74,1.2352,1.2439,1.2902
29,3340.86,3357.50,3357.08,20.98,21.29,21.46,1.2109,1.2337,1.2522
30,3333.98,3350.36,3351.51,16.92,16.90,18.13,1.1630,1.1813,1.1333
31,3335.23,3350.38,3351.35,17.74,15.99,17.14,0.9332,1.1517,1.1113
32,3340.70,3357.33,3357.32,19.94,20.18,20.51,1.1860,1.2015,1.2101
33,3340.74,3357.38,3357.51,18.68,18.95,19.43,1.1703,1.1854,1.1927
34,3384.29,3350.49,3351.76,15.57,15.12,16.25,1.1080,1.1038,1.0586
35,3333.36,3349.87,3351.14,14.42,14.08,15.34,1.0976,1.0831,1.0482
36,3343.15,3356.63,3356.90,17.43,17.56,18.34,0.2000,1.1536,1.1659
37,3339.96,3356.67,3357.00,15.67,15.62,16.61,1.0962,1.1329,1.0995
38,3333.18,3349.81,3351.02,13.12,12.62,14.00,1.0636,1.0056,0.9851
39,3333.23,3350.12,3350.55,11.42,9.38,12.08,0.9482,0.4894,0.8786
40,3340.56,3356.49,3356.96,13.46,13.19,14.22,1.0031,1.0223,0.9828
41,3339.46,3356.15,3356.49,12.39,12.25,13.09,0.9352,0.9201,0.9078
42,3391.17,3356.26,3356.15,11.36,11.43,12.29,0.2909,1.0327,0.9725
43,3330.27,3349.61,3350.18,9.26,9.45,10.34,0.2000,0.8371,0.8321
44,3383.17,3349.80,3350.27,10.83,8.76,11.09,0.8983,0.5435,0.8138
45,3338.00,3349.65,3350.18,9.89,8.12,10.18,0.2000,0.5179,0.7468
46,3383.82,3349.45,3350.14,8.45,8.45,9.33,0.2000,0.7910,0.7797
47,3339.15,3355.91,3355.69,10.01,10.46,11.15,0.8934,0.9090,0.9145
48,3390.74,3356.07,3355.84,11.48,9.33,11.81,0.2000,0.6204,0.8664
49,3388.49,3355.64,3355.63,10.86,9.18,11.33,1.0785,0.7599,0.8293
50,3338.80,3355.55,3355.33,9.48,9.93,10.59,0.8699,0.8817,0.8896
51,3332.58,3349.23,3349.60,7.89,7.73,8.93,0.7676,0.7322,0.7440
52,3383.53,3349.29,3349.55,9.64,7.81,9.80,0.2000,0.5643,0.7158
53,3343.93,3349.42,3349.85,9.12,7.45,9.39,0.2000,0.5272,0.6623
54,3347.17,3349.34,3349.90,7.47,7.52,8.53,0.2000,0.6784,0.6930
55,3363.26,3355.88,3355.77,8.68,8.15,9.65,0.2000,1.2071,0.7819
56,3339.68,3355.69,3355.98,10.15,8.43,10.53,0.2000,0.6697,0.7283
57,3338.74,3355.46,3355.89,9.69,8.07,10.03,0.6757,0.6323,0.6620
58,3388.97,3355.39,3355.45,8.25,8.44,9.28,0.7293,0.7386,0.7431
59,3351.65,3349.31,3349.91,7.16,5.92,8.17,0.6850,0.1000,0.6436
60,3338.25,3349.29,3349.98,8.82,7.22,8.98,0.6846,0.5180,0.5910
61,3332.87,3349.24,3349.89,8.46,6.87,8.66,0.2000,0.4572,0.5223
62,3332.48,3349.27,3349.62,6.67,5.57,7.80,0.6020,0.1000,0.5768
63,3389.27,3355.42,3355.68,7.59,6.81,8.71,0.2000,1.1028,0.6544
64,3389.38,3355.35,3355.27,9.35,7.54,9.54,0.2000,0.5587,0.6134
65,3386.72,3355.16,3355.42,8.91,7.20,9.08,0.2000,0.5120,0.5171
66,3369.20,3355.21,3355.34,7.11,6.28,8.28,0.2000,1.0361,0.5503
67,3382.64,3349.17,3349.59,6.41,5.26,7.52,0.4844,0.2687,0.4934
68,3332.34,3349.09,3349.64,8.19,6.66,8.44,0.5425,0.4539,0.4978
69,3382.89,3349.38,3350.81,7.96,6.34,8.12,0.3962,0.3503,0.3352
70,3344.65,3349.35,3349.82,5.97,5.00,7.19,0.4371,0.5688,0.4490
71,3337.76,3355.32,3355.43,6.15,5.53,7.78,1.0221,0.8248,0.4774
72,3388.94,3355.36,3355.37,8.41,6.81,8.59,0.4839,0.4512,0.4438
73,3388.03,3354.91,3354.78,8.10,6.35,8.12,0.7222,0.4155,0.2405
