spectrum_id,B0_G,dB_G,p,g_factor,mwFreq_GHz,run_name,status
1,3353.56,29.81,1.3218,2.00253,9.399319,20260412_143406,OK
2,3347.27,24.34,1.2781,2.00617,9.39877,20260412_143406,OK
3,3347.30,20.43,1.2231,2.00613,9.398642,20260412_143406,OK
4,3353.79,25.20,1.2654,2.00230,9.398879,20260412_143406,OK
5,3353.90,21.38,1.0823,2.00200,9.397824,20260412_143406,OK
6,3347.82,17.32,1.0316,2.00557,9.397501,20260412_143406,OK
7,3348.11,15.64,0.9436,2.00556,9.398224,20260412_143406,OK
8,3354.02,19.62,1.0032,2.00194,9.397858,20260412_143406,OK
9,3354.41,17.89,0.9327,2.00192,9.398833,20260412_143406,OK
10,3348.38,14.73,0.8806,2.00546,9.398531,20260412_143406,OK
11,3348.49,13.46,0.8099,2.00529,9.398045,20260412_143406,OK
12,3354.17,16.81,0.8899,2.00191,9.398121,20260412_143406,OK
13,3354.31,15.46,0.8373,2.00191,9.398503,20260412_143406,OK
14,3348.50,12.93,0.7740,2.00531,9.39816,20260412_143406,OK
15,3348.25,12.02,0.7156,2.00549,9.398306,20260412_143406,OK
16,3354.62,14.17,0.7770,2.00175,9.398634,20260412_143406,OK
17,3354.56,13.19,0.7171,2.00179,9.398633,20260412_143406,OK
18,3348.02,11.41,0.6591,2.00562,9.398298,20260412_143406,OK
19,3347.94,10.78,0.6020,2.00571,9.398495,20260412_143406,OK
20,3354.53,12.30,0.6644,2.00185,9.398864,20260412_143406,OK
21,3354.48,11.60,0.6094,2.00185,9.398693,20260412_143406,OK
22,3347.90,10.28,0.5463,2.00571,9.398388,20260412_143406,OK
23,3347.83,9.63,0.4906,2.00571,9.398157,20260412_143406,OK
24,3348.06,8.20,0.5136,2.00557,9.398173,20260412_143406,OK
25,3354.50,9.54,0.5888,2.00180,9.398514,20260412_143406,OK
26,3354.44,8.62,0.5206,2.00183,9.39853,20260412_143406,OK
27,3348.23,7.54,0.4518,2.00549,9.398283,20260412_143406,OK
28,3348.29,6.80,0.3800,2.00550,9.398464,20260412_143406,OK
29,3354.53,7.57,0.4532,2.00185,9.398855,20260412_143406,OK
30,3354.64,6.68,0.3951,2.00184,9.399121,20260412_143406,OK
31,3347.93,5.93,0.2000,2.00579,9.398789,20260412_143406,OK
32,3347.75,5.07,0.2000,2.00586,9.398634,20260412_143406,OK
33,3354.23,5.52,0.2115,2.00205,9.39893,20260412_143406,OK
34,3354.09,5.06,0.2000,2.00219,9.399193,20260412_143406,OK
35,3354.86,4.46,0.2219,2.00172,9.399192,20260412_143406,OK
36,3348.19,4.18,0.2000,2.00558,9.398571,20260412_143406,OK
37,3348.52,3.68,0.2000,2.00546,9.398933,20260412_143406,OK
38,3354.55,4.04,0.2000,2.00188,9.399059,20260412_143406,OK
39,3354.29,3.71,0.2000,2.00200,9.398897,20260412_143406,OK
