spectrum_id,B0_G,dB_G,p,g_factor,mwFreq_GHz,run_name,status
1,3353.19,27.70,1.2939,2.00520,9.410817,20260412_135545,OK
2,3351.96,26.29,1.0514,2.00583,9.410328,20260412_135545,OK
3,3352.51,26.45,1.0157,2.00550,9.410293,20260412_135545,OK
4,3350.87,24.59,1.0926,2.00635,9.409691,20260412_135545,OK
5,3352.33,26.70,1.3633,2.00542,9.409413,20260412_135545,OK
6,3352.82,25.39,1.3192,2.00487,9.408241,20260412_135545,OK
7,3350.91,23.07,1.0605,2.00609,9.408591,20260412_135545,OK
8,3351.45,21.33,1.0479,2.00586,9.409015,20260412_135545,OK
9,3352.72,23.97,1.3061,2.00477,9.407513,20260412_135545,OK
10,3353.33,22.78,1.3099,2.00445,9.407702,20260412_135545,OK
11,3350.62,20.25,1.0816,2.00612,9.407919,20260412_135545,OK
12,3350.59,18.83,1.0722,2.00598,9.407164,20260412_135545,OK
13,3353.63,21.75,1.3086,2.00416,9.407191,20260412_135545,OK
14,3353.58,20.70,1.3112,2.00401,9.406323,20260412_135545,OK
15,3350.36,17.82,1.0742,2.00599,9.406592,20260412_135545,OK
16,3349.80,16.47,1.1028,2.00603,9.405206,20260412_135545,OK
17,3353.67,19.81,1.3031,2.00372,9.405222,20260412_135545,OK
18,3354.53,18.61,1.2369,2.00315,9.404925,20260412_135545,OK
19,3350.16,15.49,1.0420,2.00580,9.405136,20260412_135545,OK
20,3349.72,14.12,1.0132,2.00571,9.403487,20260412_135545,OK
21,3355.02,17.10,1.1556,2.00270,9.404213,20260412_135545,OK
22,3354.91,15.58,1.0822,2.00249,9.402894,20260412_135545,OK
23,3349.40,12.94,0.9620,2.00557,9.401926,20260412_135545,OK
24,3349.62,11.59,0.9123,2.00535,9.401509,20260412_135545,OK
25,3355.15,13.89,1.0184,2.00204,9.401469,20260412_135545,OK
26,3355.89,12.34,0.9355,2.00144,9.400721,20260412_135545,OK
27,3349.81,10.20,0.8354,2.00506,9.400693,20260412_135545,OK
28,3349.54,9.32,0.7558,2.00506,9.399916,20260412_135545,OK
29,3355.70,11.17,0.8439,2.00136,9.399831,20260412_135545,OK
30,3354.61,9.98,0.8199,2.00149,9.397368,20260412_135545,OK
31,3348.83,8.60,0.7304,2.00493,9.39732,20260412_135545,OK
32,3349.13,7.92,0.6159,2.00470,9.397073,20260412_135545,OK
33,3354.73,8.69,0.6618,2.00141,9.397374,20260412_135545,OK
34,3354.50,7.92,0.4931,2.00152,9.397197,20260412_135545,OK
35,3348.93,7.35,0.4670,2.00486,9.397265,20260412_135545,OK
36,3348.28,6.90,0.3844,2.00489,9.395601,20260412_135545,OK
37,3353.87,7.18,0.3508,2.00152,9.395457,20260412_135545,OK
38,3353.53,7.05,0.2153,2.00171,9.395381,20260412_135545,OK
39,3348.10,6.84,0.3793,2.00498,9.395498,20260412_135545,OK
40,3369.35,25.19,0.6214,1.99578,9.411718,20260412_135545,OK
41,3397.19,12.88,0.2000,1.97937,9.411491,20260412_135545,OK
42,3368.81,18.76,0.7660,1.99634,9.412876,20260412_135545,OK
43,3360.19,28.41,0.8191,2.00148,9.412997,20260412_135545,OK
44,3361.50,33.70,0.7347,2.00029,9.411008,20260412_135545,OK
45,3364.01,22.56,0.8992,1.99878,9.41095,20260412_135545,OK
46,3347.63,25.73,1.4149,2.00857,9.411009,20260412_135545,OK
47,3357.01,35.94,0.9763,2.00297,9.411063,20260412_135545,OK
48,3353.31,38.03,1.1665,2.00503,9.410332,20260412_135545,OK
49,3350.93,30.50,1.4186,2.00643,9.410263,20260412_135545,OK
50,3352.73,33.19,1.3728,2.00521,9.40958,20260412_135545,OK
51,3352.01,34.18,1.1376,2.00560,9.409376,20260412_135545,OK
52,3351.34,31.11,1.1312,2.00617,9.410188,20260412_135545,OK
53,3352.35,30.70,1.3931,2.00552,9.409968,20260412_135545,OK
