spectrum_id,B0_matlab,B0_easyspin,B0_cnn,dB_matlab,dB_easyspin,dB_cnn,p_matlab,p_easyspin,p_cnn
1,3353.05,3357.37,3353.19,30.78,34.56,27.70,1.0791,1.1268,1.2939
2,3337.76,3350.71,3351.96,24.78,27.34,26.29,0.2000,1.1243,1.0514
3,3334.73,3350.45,3352.51,24.47,26.91,26.45,0.9996,1.1155,1.0157
4,3334.35,3350.21,3350.87,23.09,24.82,24.59,1.0093,1.1184,1.0926
5,3339.14,3356.53,3352.33,29.10,32.07,26.70,1.1470,1.1966,1.3633
6,3389.20,3356.25,3352.82,27.87,30.06,25.39,1.1578,1.1909,1.3192
7,3333.84,3349.74,3350.91,22.04,23.41,23.07,1.0381,1.1132,1.0605
8,3334.83,3349.90,3351.45,20.25,21.36,21.33,0.9278,1.1283,1.0479
9,3386.09,3355.70,3352.72,25.52,27.64,23.97,4.9653,1.2152,1.3061
10,3338.83,3355.90,3353.33,24.38,26.18,22.78,1.2048,1.2281,1.3099
11,3335.26,3349.61,3350.62,20.63,20.38,20.25,0.8770,1.1496,1.0816
12,3383.37,3349.32,3350.59,18.34,18.68,18.83,1.1124,1.1556,1.0722
13,3338.84,3355.89,3353.63,22.81,24.19,21.75,1.2161,1.2496,1.3086
14,3338.98,3356.01,3353.58,21.56,22.73,20.70,1.2007,1.2553,1.3112
15,3335.83,3349.27,3350.36,17.16,17.62,17.82,0.2000,1.1355,1.0742
16,3334.07,3348.97,3349.80,16.01,16.14,16.47,0.2000,1.1778,1.1028
17,3342.31,3355.72,3353.67,22.33,21.18,19.81,0.7127,1.2681,1.3031
18,3338.91,3355.90,3354.53,18.83,19.48,18.61,1.1707,1.2118,1.2369
19,3332.60,3349.05,3350.16,15.11,15.20,15.49,1.0811,1.0892,1.0420
20,3332.05,3348.55,3349.72,13.90,13.79,14.12,1.0622,1.0545,1.0132
21,3338.87,3355.75,3355.02,17.17,17.55,17.10,1.1185,1.1516,1.1556
22,3340.94,3355.49,3354.91,15.53,15.45,15.58,0.2000,1.1289,1.0822
23,3331.56,3348.17,3349.40,12.74,12.25,12.94,1.0116,0.9962,0.9620
24,3329.70,3348.38,3349.62,9.65,9.54,11.59,1.5076,0.7159,0.9123
25,3338.27,3355.07,3355.15,13.71,13.48,13.89,1.0069,1.0575,1.0184
26,3379.78,3355.04,3355.89,12.31,11.77,12.34,0.9591,0.9922,0.9355
27,3382.84,3348.30,3349.81,10.30,8.37,10.20,0.2000,0.6420,0.8354
28,3342.18,3348.01,3349.54,9.42,8.44,9.32,0.8439,0.7661,0.7558
29,3338.07,3354.96,3355.70,11.07,9.31,11.17,0.8840,0.7948,0.8439
30,3388.71,3354.21,3354.61,10.18,8.36,9.98,0.2000,0.7707,0.8199
31,3381.63,3347.36,3348.83,8.80,7.10,8.60,0.2000,0.6891,0.7304
32,3380.14,3347.53,3349.13,7.99,6.49,7.92,1.1256,0.6461,0.6159
33,3387.86,3354.38,3354.73,9.06,7.31,8.69,0.7257,0.6032,0.6618
34,3337.62,3354.41,3354.50,8.03,6.46,7.92,0.5660,0.4902,0.4931
35,3363.49,3347.80,3348.93,7.48,5.92,7.35,0.5686,0.5898,0.4670
36,3381.01,3347.41,3348.28,7.16,5.50,6.90,0.4890,0.6155,0.3844
37,3358.57,3353.77,3353.87,7.37,5.76,7.18,0.4180,0.4646,0.3508
38,3337.13,3353.79,3353.53,7.16,5.63,7.05,0.2000,0.3585,0.2153
39,3330.82,3347.46,3348.10,6.97,5.40,6.84,0.4474,0.5639,0.3793
40,3435.90,3314.51,3369.35,108.13,5.00,25.19,0.2000,5.0000,0.6214
41,3346.68,3336.28,3397.19,5.94,5.00,12.88,2.0332,5.0000,0.2000
42,3336.09,3353.85,3368.81,11.18,28.25,18.76,1.5079,1.0717,0.7660
43,3340.78,3351.57,3360.19,42.84,43.21,28.41,0.5567,1.0749,0.8191
44,3435.90,3310.65,3361.50,5.00,5.00,33.70,0.2719,5.0000,0.7347
45,3394.56,3352.59,3364.01,52.60,31.88,22.56,0.2000,1.1519,0.8992
46,3392.97,3352.14,3347.63,48.31,51.48,25.73,0.8068,1.3804,1.4149
47,3357.85,3352.25,3357.01,40.44,38.65,35.94,0.2000,1.0623,0.9763
48,3344.46,3351.30,3353.31,36.93,41.77,38.03,0.9967,1.1764,1.1665
49,3366.48,3354.60,3350.93,45.55,45.49,30.50,1.0234,1.3238,1.4186
50,3338.39,3356.07,3352.73,39.23,49.23,33.19,1.1321,1.1840,1.3728
51,3385.22,3350.57,3352.01,33.08,38.40,34.18,0.9979,1.1777,1.1376
52,3335.02,3350.96,3351.34,28.62,31.47,31.11,0.9957,1.1285,1.1312
53,3339.05,3357.15,3352.35,35.15,40.56,30.70,1.1267,1.1915,1.3931
