spectrum_id,B0_G,dB_G,p,g_factor,mwFreq_GHz,run_name,status
1,3352.89,29.95,1.3294,2.00293,9.399319,20260412_122613,OK
2,3348.50,24.28,1.2864,2.00544,9.39877,20260412_122613,OK
3,3353.21,25.76,1.0122,2.00508,9.410293,20260412_122613,OK
4,3354.73,25.06,1.2745,2.00174,9.398879,20260412_122613,OK
5,3354.67,21.08,1.0689,2.00155,9.397824,20260412_122613,OK
6,3348.47,17.17,1.0206,2.00519,9.397501,20260412_122613,OK
